OID,FORK_HEIGHT,FORK_WIDTH,FORK_LENGTH,SPEED,SPEED_WITH_LOAD,UP_SPEED,UP_SPEED_WITH_LOAD,DOWN_SPEED,DOWN_SPEED_WITH_LOAD,MODEL_NAME
157,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
158,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
159,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
160,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
161,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
162,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
163,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
164,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
165,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
166,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
167,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
168,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
169,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
170,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
171,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
172,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
173,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
174,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
175,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
176,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
177,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
178,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
179,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
180,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
181,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
182,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
183,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
184,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
185,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
186,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
187,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
188,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
189,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
190,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
191,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
192,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
193,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
194,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
195,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
196,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
197,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
198,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
199,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
200,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
